Projects,Priority,Type,Status,Sprint,Started,Finished,Inactivity (h),Notes,Duration,Inactivity time,Active time,Created,Start date,End date,Epic,Engineers,Product Manager,Timeline,Tasks,URL
Migrate from native WebSocket to SockJS and ,Medium,Refactor 🛠️,Cancelled,,,"July 30, 2022 23:00",,See https://www.notion.so/Migrate-from-Java-WebSocket-lib-to-Jetty-websockets-in-backend-2741493312a847c8a769338bb49b9b63?pvs=21. Tested but it did not work.,,0,0,"July 29, 2022 1:10 AM",,30/07/2022,,,,,,
Provide more style to message components,High,"Improvement 🚀, Task 🔨",Complete,Sprint 02,"July 28, 2022 17:05","July 28, 2022 20:33",0.8,Can be updated anytime,12480,2880,9600,"July 28, 2022 7:52 PM",28/07/2022,28/07/2022,,,,,,
"If up arrow key is pressed, visit the message history",Very low,"Idea 🧠, Improvement 🚀",Not Started,,,,,,,0,0,"July 27, 2022 10:27 PM",,,,,,,,
Show incoming messages in ChatBox,High,Task 🔨,Complete,Sprint 02,"July 27, 2022 20:30","July 28, 2022 16:55",14,"1 - Only shows the last message received
2 - I lasted 6 minutes the following day after watching how to use prevState in setter",73500,50400,23100,"July 27, 2022 8:30 PM",27/07/2022,28/07/2022,,,,,,
Make a record class to identify the WS user in backend,High,"Refactor 🛠️, Task 🔨",Complete,Sprint 02,"July 27, 2022 17:57","July 27, 2022 18:42",0,,2700,0,2700,"July 27, 2022 6:15 PM",27/07/2022,27/07/2022,,,,,,
Receive message in component,High,"Refactor 🛠️, Task 🔨",Complete,Sprint 02,"July 27, 2022 0:48","July 27, 2022 2:07",0,,4740,0,4740,"July 27, 2022 2:06 AM",27/07/2022,27/07/2022,,,,,,
Improve storage of clients in backend,High,Task 🔨,Complete,Sprint 02,"July 26, 2022 22:52","July 27, 2022 0:32",0.6,WSClientID record was created,6000,2160,3840,"July 26, 2022 10:51 PM",26/07/2022,27/07/2022,,,,,,
Improve message handling between front and back,High,"Refactor 🛠️, Task 🔨",Complete,Sprint 02,"July 26, 2022 18:20","July 26, 2022 21:28",0.6,,11280,2160,9120,"July 26, 2022 9:19 PM",26/07/2022,26/07/2022,,,,,,
Clear the sensitive headers to send the received message to other clients in backend,Critical 🔥,"Refactor 🛠️, Task 🔨",Complete,Sprint 02,"July 26, 2022 18:22","July 26, 2022 18:38",0,,960,0,960,"July 26, 2022 6:19 PM",26/07/2022,26/07/2022,,,,,,
Limit rate at which users can send messages to 6 per second,Very low,"Idea 🧠, Improvement 🚀, Task 🔨",Not Started,,,,,,,0,0,"July 26, 2022 6:08 PM",,,,,,,,
Return an existing session to the user that logs in with other host,Very low,"Idea 🧠, Improvement 🚀, Task 🔨",Not Started,,,,,,,0,0,"July 26, 2022 6:05 PM",,,,,,,,
Add the sessionId when sending the response to the client,High,"Refactor 🛠️, Task 🔨",Complete,Sprint 02,"July 26, 2022 16:37","July 26, 2022 17:30",0.25,Previously it was sent the date of sign in,3180,900,2280,"July 26, 2022 4:37 PM",26/07/2022,26/07/2022,,,,,,
"Make a deploy test in Heroku, to verify the functionality of the sockets",High,Research ⛰️,Complete,Sprint 02,"July 28, 2022 17:42","August 5, 2022 0:45",-1,"Working with S3 correctly, remains connecting to available chats, not the one you want",630180,0,630180,"July 26, 2022 12:51 PM",28/07/2022,05/08/2022,,,,,,
Receive messages in frontend from other clients and log to console,High,Task 🔨,Complete,Sprint 02,"July 26, 2022 0:30","July 26, 2022 1:28",0,"Received and printed in class, not component",3480,0,3480,"July 26, 2022 12:29 AM",26/07/2022,26/07/2022,,,,,,
Configure frontend to send messages. Create class and Hook,High,Task 🔨,Complete,Sprint 02,"July 25, 2022 19:34","July 26, 2022 0:34",1.7,,18000,6120,11880,"July 25, 2022 7:34 PM",25/07/2022,26/07/2022,,,,,,
Logout check,Low,,Not Started,,,,,,,0,0,"July 25, 2022 10:32 AM",,,,,,,,
Messages could be fragmented. Add an attribute in the JSON,Very low,Idea 🧠,Cancelled,,,,,,,0,0,"July 25, 2022 3:18 AM",,,,,,,,
File writing from several threads (maybe use synchronized),Low,,Cancelled,,,,,,,0,0,"July 24, 2022 1:29 AM",,,,,,,,
Create WebSocket server,High,Task 🔨,Complete,Sprint 02,"July 23, 2022 20:15","July 24, 2022 1:12",1.5,,17820,5400,12420,"July 23, 2022 8:22 PM",23/07/2022,24/07/2022,,,,,,
"When sending an empty message, write nothing in the response",Critical 🔥,"Refactor 🛠️, Task 🔨",Complete,Sprint 02,"July 23, 2022 17:40","July 23, 2022 17:47",0,,420,0,420,"July 23, 2022 5:41 PM",23/07/2022,23/07/2022,,,,,,
Send messages to other members of the chat,Critical 🔥,Task 🔨,Complete,Sprint 02,"July 24, 2022 14:48","July 26, 2022 1:28",14,,124800,50400,74400,"July 21, 2022 10:27 PM",24/07/2022,26/07/2022,,,,,,
Update security of the routes. Make a separate class or something,Low,"Refactor 🛠️, Task 🔨",Complete,Sprint 02,"July 21, 2022 20:00","July 21, 2022 20:57",0,,3420,0,3420,"July 21, 2022 8:11 PM",21/07/2022,21/07/2022,,,,,,
Move header of message up one component (to ChatMessage.jsx),Medium,Task 🔨,Complete,Sprint 02,"July 21, 2022 19:27","July 21, 2022 19:47",0,,1200,0,1200,"July 21, 2022 7:29 PM",21/07/2022,21/07/2022,,,,,,
"Check the date in which the message was sent, to write correctly to the file",Critical 🔥,"Bug 🐞, Task 🔨",Complete,Sprint 02,"July 27, 2022 0:26","July 27, 2022 0:29",0,,180,0,180,"July 21, 2022 12:19 AM",27/07/2022,27/07/2022,,,,,,
Add a new table in DB (Chats),Critical 🔥,Task 🔨,Complete,Sprint 02,"July 21, 2022 17:20","July 21, 2022 19:06",0.5,,6360,1800,4560,"July 21, 2022 12:06 AM",21/07/2022,21/07/2022,,,,,,
"When hovering the date of the message, show full date (with millisecond precision)",Low,Task 🔨,Reference,,,,,,,0,0,"July 21, 2022 12:05 AM",,,,,,,,
Show a division of messages per day,Low,Task 🔨,Not Started,,,,,,,0,0,"July 21, 2022 12:05 AM",,,,,,,,
Font size selector,Low,"Improvement 🚀, Task 🔨",Not Started,,,,,,,0,0,"July 21, 2022 12:04 AM",,,,,,,,
